left_id,right_id,left_name,right_name,left_department,right_department,left_city,right_city,confidence,decision,reason,match_summary,pan_component,gstin_component,name_component,address_component,pincode_component,phonetic_component,behavioural_boost_component
ele_13,fac_13,Sri Karnataka Lodging 13 Enterprises,M/s Karnataka Lodging 13 LLP,electricity,factories,Mangaluru,Mangaluru,0.8692,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.35 GSTIN=0.0 NAME=0.1192 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1192,0.05,0.05,0.0,0.3
ele_13,pol_13,Sri Karnataka Lodging 13 Enterprises,M/s Karnataka Lodging 13 LPL,electricity,pollution,Mangaluru,Mangaluru,0.9132,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.35 GSTIN=0.0 NAME=0.1132 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1132,0.1,0.05,0.0,0.3
ele_13,pol_13_dup,Sri Karnataka Lodging 13 Enterprises,M/s Karnataka Lodging 13 LPL,electricity,pollution,Mangaluru,Mangaluru,0.8632,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.35 GSTIN=0.0 NAME=0.1132 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1132,0.05,0.05,0.0,0.3
ele_13,sho_13,Sri Karnataka Lodging 13 Enterprises,Sri Karnataka Lodging 13,electricity,shops,Mangaluru,Mangaluru,0.9444,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=5,PAN=0.35 GSTIN=0.0 NAME=0.15 ADDR=0.0444 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.0,0.15,0.0444,0.05,0.05,0.3
ele_13,sho_13_dup,Sri Karnataka Lodging 13 Enterprises,Sri Kranataka Lodging 13,electricity,shops,Mangaluru,Mangaluru,0.9422,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=5,PAN=0.35 GSTIN=0.0 NAME=0.1478 ADDR=0.0444 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.0,0.1478,0.0444,0.05,0.05,0.3
ele_14,fac_14,Shree Durga Restauratn 14,Sri Shree Durga Restaurant 14,electricity,factories,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1488 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1488,0.0444,0.05,0.0,0.3
ele_14,pol_14,Shree Durga Restauratn 14,M/s Shree Durga Restaurant 14 Pvt Ltd,electricity,pollution,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1211 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1211,0.0444,0.05,0.0,0.3
ele_14,sho_14,Shree Durga Restauratn 14,Shree Durga Restaurant 14 LLP,electricity,shops,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1488 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1488,0.0444,0.05,0.0,0.3
ele_15,fac_15,Navarasa Bakery 15 Traders,Sri Navarasa Bakery 15,electricity,factories,Bengaluru,Bengaluru,0.65,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.0 GSTIN=0.3 NAME=0.15 ADDR=0.1 PIN=0.05 PH=0.05 BOOST=0.0,0.0,0.3,0.15,0.1,0.05,0.05,0.0
ele_15,fac_15_dup,Navarasa Bakery 15 Traders,Sri Navarasa Bakery 15,electricity,factories,Bengaluru,Bengaluru,0.5875,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.0 GSTIN=0.3 NAME=0.15 ADDR=0.0375 PIN=0.05 PH=0.05 BOOST=0.0,0.0,0.3,0.15,0.0375,0.05,0.05,0.0
ele_15,pol_15,Navarasa Bakery 15 Traders,Navarasa Bakery 15 Pvt Ltd,electricity,pollution,Bengaluru,Bengaluru,0.9,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.15 ADDR=0.05 PIN=0.05 PH=0.05 BOOST=0.3,0.0,0.3,0.15,0.05,0.05,0.05,0.3
ele_15,sho_15,Navarasa Bakery 15 Traders,Navarasa Bakery 15 Enterprises,electricity,shops,Bengaluru,Bengaluru,0.95,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.15 ADDR=0.1 PIN=0.05 PH=0.05 BOOST=0.3,0.0,0.3,0.15,0.1,0.05,0.05,0.3
ele_15,sho_15_dup,Navarasa Bakery 15 Traders,Navraasa Bakery 15 Enterprises,electricity,shops,Bengaluru,Bengaluru,0.8731,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.1481 ADDR=0.025 PIN=0.05 PH=0.05 BOOST=0.3,0.0,0.3,0.1481,0.025,0.05,0.05,0.3
ele_16,fac_16,M/s Royal Retail 16 Pvt Ltd,Royal Retail 16 Retails,electricity,factories,Mysuru,Mysuru,0.8463,REVIEW,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.35 GSTIN=0.3 NAME=0.1019 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.0,0.35,0.3,0.1019,0.0444,0.05,0.0,0.0
ele_16,pol_16,M/s Royal Retail 16 Pvt Ltd,Royal Retail 16 Traders,electricity,pollution,Mysuru,Mysuru,0.6195,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.35 GSTIN=0.0 NAME=0.1195 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.0,0.35,0.0,0.1195,0.1,0.05,0.0,0.0
ele_16,sho_16,M/s Royal Retail 16 Pvt Ltd,Shri Royal Retail 16,electricity,shops,Mysuru,Mysuru,0.6195,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.35 GSTIN=0.0 NAME=0.1195 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.0,0.35,0.0,0.1195,0.1,0.05,0.0,0.0
ele_17,fac_17,M/s Nandi Fabrication 17 Pvt Ldt,Shri Nandi Fabrication 17 Pvt Ltd,electricity,factories,Hubballi,Hubballi,0.9132,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.35 GSTIN=0.0 NAME=0.1132 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1132,0.1,0.05,0.0,0.3
ele_17,pol_17,M/s Nandi Fabrication 17 Pvt Ldt,M/s Nandi Fabrication 17 Enterprises,electricity,pollution,Hubballi,Hubballi,0.9457,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=3,PAN=0.35 GSTIN=0.0 NAME=0.1457 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1457,0.1,0.05,0.0,0.3
ele_17,sho_17,M/s Nandi Fabrication 17 Pvt Ldt,Shri Nandi Fabrication 17 Traders,electricity,shops,Hubballi,Hubballi,0.8632,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.35 GSTIN=0.0 NAME=0.1132 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1132,0.05,0.05,0.0,0.3
ele_18,fac_18,M/s Kaveri Lodging 18 Traders,Shri Kaveri Lodging 18 Traders,electricity,factories,Mangaluru,Mangaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.35 GSTIN=0.3 NAME=0.1199 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1199,0.0444,0.05,0.0,0.3
ele_18,pol_18,M/s Kaveri Lodging 18 Traders,M/s Kaveri Lodging 18 PvtL td,electricity,pollution,Mangaluru,Mangaluru,0.8917,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.0 GSTIN=0.3 NAME=0.1417 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1417,0.1,0.05,0.0,0.3
ele_18,sho_18,M/s Kaveri Lodging 18 Traders,Kaveri Lodging 18 Lodgings,electricity,shops,Mangaluru,Mangaluru,0.8469,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.35 GSTIN=0.0 NAME=0.1025 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1025,0.0444,0.05,0.0,0.3
ele_19,ele_19_dup,Shri hBarath Restaurant 19 Pvt Ltd,Shri hBarath Restaurant 19 Pvt Ltd,electricity,electricity,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.15 ADDR=0.0444 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.3,0.15,0.0444,0.05,0.05,0.3
ele_19,fac_19,Shri hBarath Restaurant 19 Pvt Ltd,Bharath Restaurant 19 Pvt Ltd,electricity,factories,Belagavi,Belagavi,0.9476,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.35 GSTIN=0.0 NAME=0.1476 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1476,0.1,0.05,0.0,0.3
ele_19,pol_19,Shri hBarath Restaurant 19 Pvt Ltd,Sri Bharath Restaurant 19 Restaurants,electricity,pollution,Belagavi,Belagavi,0.8794,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.1294 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1294,0.1,0.05,0.0,0.3
ele_19,sho_19,Shri hBarath Restaurant 19 Pvt Ltd,M/s Bharath Restaurant 19 LLP,electricity,shops,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.1206 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1206,0.05,0.05,0.0,0.3
ele_19,sho_19_dup,Shri hBarath Restaurant 19 Pvt Ltd,M/s Bharath Restaurant 19 LLP,electricity,shops,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.1206 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1206,0.05,0.05,0.0,0.3
ele_19_dup,fac_19,Shri hBarath Restaurant 19 Pvt Ltd,Bharath Restaurant 19 Pvt Ltd,electricity,factories,Belagavi,Belagavi,0.8921,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.35 GSTIN=0.0 NAME=0.1476 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1476,0.0444,0.05,0.0,0.3
ele_19_dup,pol_19,Shri hBarath Restaurant 19 Pvt Ltd,Sri Bharath Restaurant 19 Restaurants,electricity,pollution,Belagavi,Belagavi,0.8239,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.1294 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1294,0.0444,0.05,0.0,0.3
ele_19_dup,sho_19,Shri hBarath Restaurant 19 Pvt Ltd,M/s Bharath Restaurant 19 LLP,electricity,shops,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.1206 ADDR=0.0375 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1206,0.0375,0.05,0.0,0.3
ele_19_dup,sho_19_dup,Shri hBarath Restaurant 19 Pvt Ltd,M/s Bharath Restaurant 19 LLP,electricity,shops,Belagavi,Belagavi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.1206 ADDR=0.0375 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1206,0.0375,0.05,0.0,0.3
ele_2,ele_2_dup,Sri Karnataka Fabrication 2,Sri Karnataka Fabricatoin 2,electricity,electricity,Hubballi,Hubballi,0.8362,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=6,PAN=0.0 GSTIN=0.3 NAME=0.1487 ADDR=0.0375 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1487,0.0375,0.05,0.0,0.3
ele_2,fac_2,Sri Karnataka Fabrication 2,Sri Karnataka Fabrication 2 Fabrications,electricity,factories,Hubballi,Hubballi,0.8267,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.1392 ADDR=0.0375 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1392,0.0375,0.05,0.0,0.3
ele_2,pol_2,Sri Karnataka Fabrication 2,M/s Karnataka Fabrication 2 Pvt Ltd,electricity,pollution,Hubballi,Hubballi,0.8131,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.1187 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1187,0.0444,0.05,0.0,0.3
ele_2,sho_2,Sri Karnataka Fabrication 2,Shri Karnataka Fabrication 2 LLP,electricity,shops,Hubballi,Hubballi,0.8944,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.0 GSTIN=0.3 NAME=0.15 ADDR=0.0444 PIN=0.05 PH=0.05 BOOST=0.3,0.0,0.3,0.15,0.0444,0.05,0.05,0.3
ele_20,fac_20,Sri Pragathi Bakery 20 Bakerys,Pragathi Bakery 20,electricity,factories,Bengaluru,Bengaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.35 GSTIN=0.3 NAME=0.1408 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1408,0.0444,0.05,0.0,0.3
ele_20,pol_20,Sri Pragathi Bakery 20 Bakerys,M/s Pragathi Bakery 20 Bakerys,electricity,pollution,Bengaluru,Bengaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.126 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.126,0.1,0.05,0.0,0.3
ele_20,sho_20,Sri Pragathi Bakery 20 Bakerys,M/s Pragathi Bakery 20 LLP,electricity,shops,Bengaluru,Bengaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=3,PAN=0.35 GSTIN=0.3 NAME=0.106 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.106,0.05,0.05,0.0,0.3
ele_21,fac_21,Shree DurgaR etail 21,M/s Shree Durga Retail 21 Pvt Ltd,electricity,factories,Mysuru,Mysuru,0.8706,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=4,PAN=0.35 GSTIN=0.0 NAME=0.1206 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1206,0.05,0.05,0.0,0.3
ele_21,pol_21,Shree DurgaR etail 21,Sri Shree Durga Retail 21,electricity,pollution,Mysuru,Mysuru,0.9486,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.35 GSTIN=0.0 NAME=0.1486 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.0,0.1486,0.1,0.05,0.0,0.3
ele_21,sho_21,Shree DurgaR etail 21,ShriS hree Durga Retail 21 Pvt Ltd,electricity,shops,Mysuru,Mysuru,0.5799,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.35 GSTIN=0.0 NAME=0.1299 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.0,0.35,0.0,0.1299,0.05,0.05,0.0,0.0
ele_22,fac_22,Shri Lakshmi Fabrication 22 Traders,Shri Lakshmi Fabrication 22 Pvt Ltd,electricity,factories,Hubballi,Hubballi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.15 ADDR=0.05 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.3,0.15,0.05,0.05,0.05,0.3
ele_22,pol_22,Shri Lakshmi Fabrication 22 Traders,Sri Lakshmi Fabrication 22 Fabrications,electricity,pollution,Hubballi,Hubballi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.1389 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1389,0.1,0.05,0.0,0.3
ele_22,sho_22,Shri Lakshmi Fabrication 22 Traders,Shri Lakshmi Fabrication 22 Traders,electricity,shops,Hubballi,Hubballi,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=3,PAN=0.35 GSTIN=0.3 NAME=0.15 ADDR=0.1 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.3,0.15,0.1,0.05,0.05,0.3
ele_23,fac_23,Sri Srinidhi Lodging 23 Pvt Ltd,Shri Srinidhi Lodging 23 Enterprises,electricity,factories,Mangaluru,Mangaluru,0.7,REVIEW,weighted_fellegi_sunter|no_lag_boost_no_nearby_cycles,PAN=0.35 GSTIN=0.0 NAME=0.15 ADDR=0.1 PIN=0.05 PH=0.05 BOOST=0.0,0.35,0.0,0.15,0.1,0.05,0.05,0.0
ele_23,pol_23,Sri Srinidhi Lodging 23 Pvt Ltd,Srinidhi Lodging 23 Enterprises,electricity,pollution,Mangaluru,Mangaluru,0.65,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.35 GSTIN=0.0 NAME=0.15 ADDR=0.05 PIN=0.05 PH=0.05 BOOST=0.0,0.35,0.0,0.15,0.05,0.05,0.05,0.0
ele_23,pol_23_dup,Sri Srinidhi Lodging 23 Pvt Ltd,Srinidhi Lodging 23 Enterprises,electricity,pollution,Mangaluru,Mangaluru,0.65,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.35 GSTIN=0.0 NAME=0.15 ADDR=0.05 PIN=0.05 PH=0.05 BOOST=0.0,0.35,0.0,0.15,0.05,0.05,0.05,0.0
ele_23,sho_23,Sri Srinidhi Lodging 23 Pvt Ltd,Sri Srinidhi Lodging 23 vPt Ltd,electricity,shops,Mangaluru,Mangaluru,0.6448,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.35 GSTIN=0.0 NAME=0.1448 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.0,0.35,0.0,0.1448,0.1,0.05,0.0,0.0
ele_24,pol_24,Shri Cauvery Restaurant 24,Shri Cauvery Restaurant 24 LLP,electricity,pollution,Belagavi,Belagavi,0.3,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.0 GSTIN=0.0 NAME=0.15 ADDR=0.05 PIN=0.05 PH=0.05 BOOST=0.0,0.0,0.0,0.15,0.05,0.05,0.05,0.0
ele_24,sho_24,Shri Cauvery Restaurant 24,Sri Cauvery Restaurant 24 Traders,electricity,shops,Belagavi,Belagavi,0.35,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.0 GSTIN=0.0 NAME=0.15 ADDR=0.1 PIN=0.05 PH=0.05 BOOST=0.0,0.0,0.0,0.15,0.1,0.05,0.05,0.0
ele_25,fac_25,Ganesh Bakery 25 Enterprises,M/s Ganesh Bakery 25 LLP,electricity,factories,Bengaluru,Bengaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=3,PAN=0.35 GSTIN=0.3 NAME=0.1181 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1181,0.0444,0.05,0.0,0.3
ele_25,pol_25,Ganesh Bakery 25 Enterprises,Ganesh Bakery 25,electricity,pollution,Bengaluru,Bengaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=3,PAN=0.35 GSTIN=0.3 NAME=0.15 ADDR=0.1 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.3,0.15,0.1,0.05,0.05,0.3
