source_department,source_id,business_key,name,address,pincode,pan,gstin,owner_name,nic_code,industry_sector,city,inspection_dates,event_history,closure_date
factories,fac_6_dup,BIZ-00006,Shri KarnatakaR etail 6 Retails,"Door 6, Industrial Area, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-28|2023-04-28|2023-07-27|2023-10-25|2024-01-23,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-25|inspection:2024-01-23|renewal:2024-04-06|renewal:2025-04-10|renewal:2026-04-27,
pollution,pol_6,BIZ-00006,M/s Karnataka Retial 6 Retails,"No 6, Main Road, Industrial Area, Mysuru",560006,ABCDE0006F,,Owner 6,4711,Retail,Mysuru,2023-01-30|2023-04-30|2023-07-29|2023-10-27|2024-01-25,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|inspection:2023-10-27|inspection:2024-01-25|filing:2026-05-05,
electricity,ele_6,BIZ-00006,Shri Karnataka Retail 6 Enterprises,"No 6, Main Road, Industrial Area, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-31|2023-05-01|2023-07-30|2023-10-28|2024-01-19,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|inspection:2023-10-28|inspection:2024-01-19|electricity_bill:2025-08-03|electricity_bill:2025-09-06|electricity_bill:2025-10-06|electricity_bill:2025-11-03|electricity_bill:2025-12-06|electricity_bill:2026-01-05|electricity_bill:2026-01-30|electricity_bill:2026-03-01|electricity_bill:2026-04-04|electricity_bill:2026-05-04,
shops,sho_7,BIZ-00007,Sri Nandi Fabrication 7 Enterprises,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-01-31|2023-05-01|2023-07-30,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|renewal:2024-04-06|renewal:2025-04-16|renewal:2026-04-25,
factories,fac_7,BIZ-00007,M/s Nandi Fabrication 7 Traders,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-01-30|2023-04-30|2023-07-29,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|renewal:2024-04-03|renewal:2026-04-23,
pollution,pol_7,BIZ-00007,Shri Nandi Fabrication 7 Enetrprises,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-02-01|2023-05-02|2023-07-31,inspection:2023-02-01|inspection:2023-05-02|inspection:2023-07-31,
electricity,ele_7,BIZ-00007,Shri Nandi Fabrication 7 Enterprises,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-02-02|2023-05-03|2023-08-06,inspection:2023-02-02|inspection:2023-05-03|inspection:2023-08-06|electricity_bill:2025-07-04|electricity_bill:2025-08-05|electricity_bill:2025-09-02|electricity_bill:2025-10-02|electricity_bill:2025-11-04|electricity_bill:2025-12-03|electricity_bill:2026-01-05|electricity_bill:2026-02-01|electricity_bill:2026-03-03|electricity_bill:2026-04-03|electricity_bill:2026-05-04,
shops,sho_8,BIZ-00008,Shri Bangalor eLodging 8 Pvt Ltd,"Plot 8, Main Road, Mangaluru",560008,ABCDE0008F,29ABCDE0008F1Z9,Owner 8,5510,Lodging,Mangaluru,2023-01-27|2023-04-27|2023-07-26,inspection:2023-01-27|inspection:2023-04-27|inspection:2023-07-26|renewal:2024-04-25|renewal:2025-04-14|renewal:2026-04-03,
factories,fac_8,BIZ-00008,Bnagalore Lodging 8 Lodgings,"No 8, Main Road, Industrial Area, Mangaluru",560008,ABCDE0008F,,Owner 8,5510,Lodging,Mangaluru,2023-01-26|2023-04-26|2023-07-22,inspection:2023-01-26|inspection:2023-04-26|inspection:2023-07-22|renewal:2026-04-19,
pollution,pol_8,BIZ-00008,Bangalore Lodging 8 Pvt Ltd,"8 Main Rd, Ind Area, Mangaluru",560008,ABCDE0008F,29ABCDE0008F1Z9,Owner 8,5510,Lodging,Mangaluru,2023-01-28|2023-04-28|2023-07-27,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|filing:2026-05-05,
electricity,ele_8,BIZ-00008,M/s Bangalore Lodging 8,"Door 8, Industrial Area, Mangaluru",560008,ABCDE0008F,,Owner 8,5510,Lodging,Mangaluru,2023-01-26|2023-04-29|2023-07-28,inspection:2023-01-26|inspection:2023-04-29|inspection:2023-07-28|electricity_bill:2026-01-30|electricity_bill:2026-03-03|electricity_bill:2026-04-01|electricity_bill:2026-05-03,
shops,sho_9,BIZ-00009,Shri Aditya Restaurant 9 Pvt Ltd,"No 9, Main Road, Industrial Area, Belagavi",560009,ABCDE0009F,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-28|2023-05-07|2023-07-27,inspection:2023-01-28|inspection:2023-05-07|inspection:2023-07-27|renewal:2024-04-16|renewal:2025-04-27|renewal:2026-04-09,
factories,fac_9,BIZ-00009,Shri Aditya Restaurant 9 LLP,"No 9, Main Road, Industrial Area, Belagavi",560009,,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-27|2023-05-02|2023-07-23,inspection:2023-01-27|inspection:2023-05-02|inspection:2023-07-23|renewal:2025-04-26|renewal:2026-04-09,
pollution,pol_9,BIZ-00009,M/s Aditya Restaurant 9,"No 9, Main Road, Industrial Area, Belagavi",560009,ABCDE0009F,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-29|2023-04-29|2023-07-28,inspection:2023-01-29|inspection:2023-04-29|inspection:2023-07-28|filing:2026-05-05,
electricity,ele_9,BIZ-00009,Shri Aditya Restaurant 9 Restaurants,"No 9, Main Road, Industrial Area, Belagavi",560009,ABCDE0009F,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-30|2023-04-30|2023-07-29,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|electricity_bill:2025-09-05|electricity_bill:2025-10-05|electricity_bill:2025-11-03|electricity_bill:2025-12-01|electricity_bill:2026-01-03|electricity_bill:2026-02-02|electricity_bill:2026-03-02|electricity_bill:2026-03-31|electricity_bill:2026-05-02,
shops,sho_10,BIZ-00010,Sri Kaveri Bakery 10,"Plot 10, Main Road, Bengaluru",560010,ABCDE0010F,,Owner 10,1071,Bakery,Bengaluru,2023-01-06|2023-04-09|2023-07-08|2023-10-06|2024-01-04,inspection:2023-01-06|inspection:2023-04-09|inspection:2023-07-08|inspection:2023-10-06|inspection:2024-01-04|renewal:2024-04-09,
factories,fac_10,BIZ-00010,Sri Kaveri Bakery 10 Pvt Ltd,"Plot 10, Main Road, Bengaluru",560010,,,Owner 10,1071,Bakery,Bengaluru,2023-01-17|2023-04-08|2023-07-07|2023-10-05|2024-01-03,inspection:2023-01-17|inspection:2023-04-08|inspection:2023-07-07|inspection:2023-10-05|inspection:2024-01-03|renewal:2024-04-19|renewal:2025-04-02,
pollution,pol_10,BIZ-00010,M/s Kaveri Bakery 10 LLP,"No 10, Main Road, Industrial Area, Bengaluru",560010,ABCDE0010F,29ABCDE0010F1Z2,Owner 10,1071,Bakery,Bengaluru,2023-01-03|2023-04-03|2023-07-09|2023-10-07|2024-01-05,inspection:2023-01-03|inspection:2023-04-03|inspection:2023-07-09|inspection:2023-10-07|inspection:2024-01-05|filing:2026-05-05,
electricity,ele_10,BIZ-00010,Kaveri Bakery 10 Pvt Ltd,"No 10, Main Road, Industrial Area, Bengaluru",560010,ABCDE0010F,29ABCDE0010F1Z2,Owner 10,1071,Bakery,Bengaluru,2023-01-11|2023-04-04|2023-07-07|2023-10-08|2024-01-06,inspection:2023-01-11|inspection:2023-04-04|inspection:2023-07-07|inspection:2023-10-08|inspection:2024-01-06|electricity_bill:2025-07-08|electricity_bill:2025-08-03|electricity_bill:2025-09-07|electricity_bill:2025-10-04|electricity_bill:2025-11-01|electricity_bill:2025-12-04|electricity_bill:2025-12-31|electricity_bill:2026-02-02|electricity_bill:2026-03-05|electricity_bill:2026-04-05|electricity_bill:2026-05-03,
shops,sho_11,BIZ-00011,Royal Retail 11 Pvt Ltd,"No 11, Main Road, Industrial Area, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-29|2023-04-29|2023-07-28|2023-10-26,inspection:2023-01-29|inspection:2023-04-29|inspection:2023-07-28|inspection:2023-10-26|renewal:2024-04-15|renewal:2025-04-23|renewal:2026-04-09,
factories,fac_11,BIZ-00011,Sri Royal Retail 11 LLP,"Door 11, Industrial Area, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-28|2023-04-28|2023-07-27|2023-10-25,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-25|renewal:2024-04-25|renewal:2025-04-09|renewal:2026-04-25,
pollution,pol_11,BIZ-00011,Shri Royal Retail 11,"No 11, Main Road, Industrial Area, Mysuru",560011,ABCDE0011F,,Owner 11,4711,Retail,Mysuru,2023-01-30|2023-04-30|2023-07-26|2023-11-05,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-26|inspection:2023-11-05,
electricity,ele_11,BIZ-00011,Royal Retial 11 Enterprises,"Plot 11, Main Road, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-31|2023-05-01|2023-07-30|2023-10-28,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|inspection:2023-10-28|electricity_bill:2026-02-01|electricity_bill:2026-03-03|electricity_bill:2026-04-01|electricity_bill:2026-04-30,
electricity,ele_11_dup,BIZ-00011,Royal Retial 11 Enterprises,"Plot 11, Main Road, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-31|2023-05-01|2023-07-30|2023-10-28,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|inspection:2023-10-28|electricity_bill:2026-02-01|electricity_bill:2026-03-03|electricity_bill:2026-04-01|electricity_bill:2026-04-30,
shops,sho_12,BIZ-00012,Pragathi Fabrication 12,"No 12, Main Road, Industrial Area, Hubballi",560012,ABCDE0012F,,Owner 12,2599,Fabrication,Hubballi,2023-01-15|2023-04-15|2023-07-23,inspection:2023-01-15|inspection:2023-04-15|inspection:2023-07-23|renewal:2024-04-18|renewal:2025-04-08|renewal:2026-04-04,
factories,fac_12,BIZ-00012,Sri Pragathi Fabrication 12 LLP,"No 12, Main Road, Industrial Area, Hubballi",560012,ABCDE0012F,29ABCDE0012F1Z4,Owner 12,2599,Fabrication,Hubballi,2023-01-14|2023-04-14|2023-07-13,inspection:2023-01-14|inspection:2023-04-14|inspection:2023-07-13|renewal:2024-04-05|renewal:2025-04-20|renewal:2026-04-05,
pollution,pol_12,BIZ-00012,Sri Pragathi Fabrication 12,"Door 12, Industrial Area, Hubballi",560012,ABCDE0012F,29ABCDE0012F1Z4,Owner 12,2599,Fabrication,Hubballi,2023-01-16|2023-04-16|2023-07-15,inspection:2023-01-16|inspection:2023-04-16|inspection:2023-07-15|filing:2026-05-05,
electricity,ele_12,BIZ-00012,Shri Pragathi Fabrication 12 Enterprises,"No 12, Main Road, Industrial Area, Hubballi",560012,ABCDE0012F,29ABCDE0012F1Z4,Owner 12,2599,Fabrication,Hubballi,2023-01-17|2023-04-17|2023-07-16,inspection:2023-01-17|inspection:2023-04-17|inspection:2023-07-16|electricity_bill:2025-08-03|electricity_bill:2025-09-04|electricity_bill:2025-10-04|electricity_bill:2025-11-01|electricity_bill:2025-12-03|electricity_bill:2025-12-31|electricity_bill:2026-02-02|electricity_bill:2026-03-06|electricity_bill:2026-04-02|electricity_bill:2026-05-04,
shops,sho_13,BIZ-00013,M/s Pragathi Lodging 13,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,29ABCDE0013F1Z5,Owner 13,5510,Lodging,Mangaluru,2023-01-09|2023-04-13|2023-07-03|2023-09-24|2023-12-30|2024-03-29,inspection:2023-01-09|inspection:2023-04-13|inspection:2023-07-03|inspection:2023-09-24|inspection:2023-12-30|inspection:2024-03-29|renewal:2024-04-11|renewal:2025-04-18|renewal:2026-04-11,
factories,fac_13,BIZ-00013,M/s rPagathi Lodging 13 Lodgings,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,,Owner 13,5510,Lodging,Mangaluru,2023-01-12|2023-03-27|2023-07-02|2023-09-30|2023-12-29|2024-03-28,inspection:2023-01-12|inspection:2023-03-27|inspection:2023-07-02|inspection:2023-09-30|inspection:2023-12-29|inspection:2024-03-28|renewal:2025-04-01,
pollution,pol_13,BIZ-00013,M/s Pragathi Lodging 13 Pvt tLd,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,29ABCDE0013F1Z5,Owner 13,5510,Lodging,Mangaluru,2023-01-05|2023-04-05|2023-07-04|2023-10-02|2023-12-31|2024-03-30,inspection:2023-01-05|inspection:2023-04-05|inspection:2023-07-04|inspection:2023-10-02|inspection:2023-12-31|inspection:2024-03-30|filing:2026-05-05,
electricity,ele_13,BIZ-00013,Sri Pragathi Lodging 13 LLP,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,29ABCDE0013F1Z5,Owner 13,5510,Lodging,Mangaluru,2023-01-06|2023-04-06|2023-07-05|2023-10-12|2023-12-29|2024-03-31,inspection:2023-01-06|inspection:2023-04-06|inspection:2023-07-05|inspection:2023-10-12|inspection:2023-12-29|inspection:2024-03-31|electricity_bill:2025-10-05|electricity_bill:2025-11-02|electricity_bill:2025-12-03|electricity_bill:2026-01-04|electricity_bill:2026-02-04|electricity_bill:2026-03-03|electricity_bill:2026-04-02|electricity_bill:2026-05-04,
shops,sho_14,BIZ-00014,M/s Mandya Restaurant 14 LLP,"No 14, Main Road, Industrial Area, Belagavi",560014,ABCDE0014F,29ABCDE0014F1Z6,Owner 14,5610,Restaurant,Belagavi,2023-01-12|2023-04-28|2023-07-18|2023-10-13|2024-01-14|2024-04-13,inspection:2023-01-12|inspection:2023-04-28|inspection:2023-07-18|inspection:2023-10-13|inspection:2024-01-14|inspection:2024-04-13|renewal:2026-04-02,
factories,fac_14,BIZ-00014,M/s Mandya Restaurnat 14 Pvt Ltd,"No 14, Main Road, Industrial Area, Belagavi",560014,ABCDE0014F,29ABCDE0014F1Z6,Owner 14,5610,Restaurant,Belagavi,2025-06-15|2023-04-18|2023-07-17|2023-10-15|2024-01-13|2024-04-12,inspection:2023-04-18|inspection:2023-07-17|inspection:2023-10-15|inspection:2024-01-13|renewal:2024-04-06|inspection:2024-04-12|renewal:2025-04-27|inspection:2025-06-15|renewal:2026-04-26,
pollution,pol_14,BIZ-00014,Shri Mandya Restaurant 14 LLP,"No 14, Main Road, Industrial Area, Hubballi",560014,,29ABCDE0014F1Z6,Owner 14,5610,Restaurant,Hubballi,2025-06-15|2023-04-20|2023-07-19|2023-10-17|2024-01-15|2024-04-14,inspection:2023-04-20|inspection:2023-07-19|inspection:2023-10-17|inspection:2024-01-15|inspection:2024-04-14|inspection:2025-06-15|filing:2026-05-05,
